,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
208,-4.615280741,-0.479912947,5.87063997,-0.05236,0.00465,-0.01164,3
209,-4.632622657,-0.227187562,5.822324864,-0.10123,0.00465,-0.01396,3
210,-4.810257645,0.007336216,5.831822342,-0.04421,0.00465,-0.00931,3
211,-5.041116584,0.143259962,5.774666737,0.04189,-0.00349,-0.00931,3
212,-5.104389473,0.311260582,5.650721584,0.15126,-0.00931,0,3
213,-5.446909797,0.471719185,5.610810491,0.30601,-0.02909,0.00233,3
214,-5.478025746,0.611768665,5.705791924,0.30135,0.26179,-0.01745,3
215,-5.569353606,0.692767337,5.667050025,0.14311,0.10472,0.02211,3
216,-5.406389346,0.913469908,5.758301643,0.01745,0.01513,-0.00582,3
217,-5.540755096,1.143832745,5.78976826,-0.09075,-0.07912,-0.02909,3
218,-5.425969661,1.0353191,5.656700585,-0.24434,-0.19896,-0.04887,3
219,-5.475305602,0.962854517,5.51386547,-0.25248,0.07214,-0.0477,3
220,-5.409986991,0.968787822,5.02303062,-0.19431,0.00233,-0.00814,3
221,-5.452742041,0.819022512,4.99128487,-0.17104,0.0128,-0.0128,3
222,-5.484336782,0.588378457,4.430458398,-0.07563,0.00465,-0.01164,3
223,-5.311078396,0.604060555,4.289235728,0.04538,-0.00233,-0.00582,3
224,-5.317063503,0.400764845,4.19989896,0.11868,-0.00698,-0.00233,3
225,-5.315745891,0.396068159,3.99590088,0.19547,-0.01513,-0.00349,3
226,-5.26537319,0.344426842,3.84507762,0.28623,-0.0256,-0.00465,3
227,-5.176499679,0.315880764,3.604132856,0.2711,0.20478,-0.01862,3
228,-5.037169558,0.265765186,3.472137953,0.01164,0.00582,-0.00465,3
229,-4.814238969,0.135460964,3.67595306,-0.17104,-0.1373,-0.04305,3
230,-4.429096632,0.505998433,3.710634173,-0.13031,0.19547,-0.06865,3
231,-4.337629969,0.507497161,3.505329362,0.11519,-0.0384,0.01629,3
232,-4.088751577,0.422942514,3.745262672,0.1373,0.13031,-0.05352,3
233,-3.82305358,0.355668307,3.91589866,0.05236,0.04538,-0.00698,3
234,-3.835626778,0.164490035,3.804086642,-0.01513,-0.01396,-0.01164,3
235,-3.646304334,0.06035725,3.708298258,-0.11635,-0.09774,-0.02676,3
236,-3.443100452,0.198909656,3.69567764,0.04189,-0.02909,0.00116,3
237,-3.57497527,-0.086233701,3.970470558,0.00814,0.00465,-0.01396,3
238,-3.69159155,-0.000441028,3.907222731,-0.01047,0.00698,-0.01513,3
239,-3.683318085,0.04892338,4.056597035,-0.00931,-0.00582,-0.01513,3
240,-3.764970708,-0.030027508,4.345481277,0.00582,0.00233,-0.00931,3
241,-3.916027926,0.174116366,4.524210124,0.00582,0.00116,-0.00465,3
242,-4.24455575,0.186940798,4.465784567,0.00582,0.00349,-0.00698,3
243,-4.447046981,-0.018781937,4.708459015,0.00349,-0.00116,-0.00931,3
244,-4.486501733,-0.128771083,4.934218435,0.00349,-0.00233,-0.01047,3
245,-4.782364776,-0.15138282,5.227667892,0,0,-0.00582,3
246,-5.090766802,-0.192441363,5.16645107,0.00465,0,-0.00814,3
247,-5.384331141,-0.402347368,5.338233844,0.00233,0,-0.00931,3
248,-5.825401846,-0.384205398,5.092604406,0.00233,-0.00233,-0.00931,3
249,-6.107472178,-0.231656945,5.112331752,-0.00116,-0.00233,-0.00931,3
250,-6.434752906,-0.061649405,4.928731681,0.00233,-0.00116,-0.00698,3
251,-6.294761253,0.040945291,4.603168641,-0.01396,0.00233,-0.01047,3
252,-6.335861539,-0.080776932,4.599435937,-0.03491,0.00233,-0.00931,3
253,-6.307235355,-0.130134076,4.630630208,-0.02792,0.00349,-0.00698,3
254,-6.278447719,-0.231272661,4.285950827,-0.00582,-0.00116,-0.00931,3
255,-6.006805133,-0.102139239,4.071184292,0.05818,-0.00814,-0.00582,3
256,-5.643693081,0.184521721,4.256426552,0.0384,0.03025,0.00814,3
257,-5.182601229,0.17397128,4.516373114,-0.04538,-0.04305,-0.02443,3
258,-4.988130515,0.236306791,4.663680168,0.01629,0.01396,-0.00465,3
259,-4.3811982,0.287951443,4.78667808,-0.00233,-0.00698,-0.00931,3
260,-4.166294006,0.269939069,4.645729865,-0.00582,-0.00233,-0.00814,3
261,-3.833937001,0.176903813,4.643080154,0.00698,0.00349,-0.00814,3
262,-3.648428994,-0.037787814,4.821182756,-0.00116,-0.00233,-0.01047,3
263,-3.470620974,-0.013887853,5.007043458,0,0,-0.01047,3
264,-3.350867422,-0.053202537,5.083793076,0.00582,0,-0.00814,3
265,-3.42943733,-0.190286119,5.152462581,-0.00116,0.00233,-0.00465,3
266,-3.422082782,-0.201785353,4.795609644,0.00465,0.00233,-0.01047,3
267,-3.599240777,-0.091920145,4.984434694,0.00698,0.00116,-0.00931,3
268,-3.534262984,0.095671613,4.99416267,0.00349,0.00233,-0.00931,3
269,-3.789458409,0.157824447,5.196195416,0.00233,0.00233,-0.00931,3
270,-3.723214669,0.118681918,5.554018757,0.00233,0.00116,-0.00698,3
271,-4.108759605,0.177333133,5.840076813,0.00465,0,-0.00698,3
272,-4.45310086,0.157995453,6.168262912,0.00116,-0.00233,-0.00814,3
273,-4.949349567,0.109865378,6.136477891,-0.00116,-0.00116,-0.01047,3
274,-5.20108322,0.094340867,6.113606259,0.00349,0.00116,-0.01047,3
275,-5.429819709,0.19865594,6.119318737,0,0.00233,-0.00582,3
276,-5.639571988,0.225613381,6.101844078,0,-0.00116,-0.00814,3
277,-5.760825044,0.413277079,6.036162438,0.00349,-0.00116,-0.00814,3
278,-5.772302884,0.422454196,5.556669092,0,-0.00349,-0.00814,3
279,-5.863641565,0.49822377,5.228007631,-0.01978,-0.02443,0.00465,3
280,-5.912137646,0.484253928,5.081560274,-0.08726,-0.08377,0.05469,3
281,-6.007355818,0.624093104,4.872794759,-0.19431,-0.15708,0.10821,3
282,-6.10536958,0.316002004,4.403411381,-0.31299,-0.21758,0.14893,3
283,-5.89187448,0.13212126,4.534459673,-0.41654,-0.21758,0.14428,3
284,-5.668174333,0.244224008,4.344220109,-0.49915,-0.16871,0.10006,3
285,-5.439893232,-0.10426732,4.239012921,-0.48286,-0.07563,0.04538,3
286,-5.008955383,-0.218290236,4.492138973,-0.3956,0.03258,-0.03142,3
287,-4.67291071,-0.492285882,4.255030898,-0.2839,0.02327,-0.01862,3
288,-4.311559665,-0.526640769,4.194554253,-0.12799,0.0128,-0.01396,3
289,-4.073695352,-0.575911632,4.459516056,0.06981,-0.00698,-0.00349,3
290,-3.660265766,-0.758315729,4.565012488,0.3444,-0.01978,0.00116,3
291,-3.54935522,-0.907497251,4.586974814,0.60387,-0.02792,0.00931,3
292,-3.380865845,-0.786119498,4.41280919,0.76327,-0.03723,-0.00349,3
293,-3.542297988,-0.718696459,4.640762906,0.93896,0.67717,-0.10588,3
294,-3.489918203,-0.368086739,4.918278305,-0.1117,0.13264,-0.16289,3
295,-3.629736443,-0.123961707,4.988924417,-0.34091,0.17453,-0.12915,3
296,-3.945843314,-0.006884724,4.989030755,-0.19314,-0.12566,-0.15242,3
297,-4.13765908,-0.006368863,5.447905964,-0.05585,-0.06865,0.01629,3
298,-4.240389065,0.167398868,5.816624892,0.01745,-0.10588,0.0477,3
299,-4.377793015,0.207778848,5.867772312,0.03607,0,0.02676,3
300,-4.516188135,0.228106144,6.115841115,-0.10006,-0.02792,0.0128,3
301,-4.597954113,0.034094137,6.364475619,-0.2234,-0.05352,0.03374,3
302,-4.646018346,-0.054844984,6.32157403,-0.34789,-0.04887,0.02676,3
303,-4.793303231,0.135366302,6.457330424,-0.44097,-0.09192,0.05585,3
304,-4.909681443,-0.097122997,6.269969168,-0.53871,-0.11519,0.06748,3
305,-4.882594951,-0.146070148,6.163297244,-0.5678,-0.06981,0.03723,3
306,-5.059060629,-0.449094967,6.348552736,-0.5294,0.00116,-0.00698,3
307,-4.931581506,-0.727540813,6.010541706,-0.45726,0.03142,-0.02909,3
308,-4.954469467,-1.290388187,5.72111449,-0.37116,0.02676,-0.02094,3
309,-5.100660425,-1.552652609,5.54747652,-0.30251,0.01978,-0.02094,3
310,-4.962572354,-1.432457777,5.424297829,-0.21991,0.01745,-0.01629,3
311,-4.867243316,-1.578163121,5.395962605,-0.14544,0.01047,-0.01164,3
312,-4.772248837,-1.670074536,5.592995962,-0.0605,0.00349,-0.00931,3
313,-4.654535314,-1.730922521,5.45027889,0.06981,-0.00349,-0.00233,3
314,-4.606230182,-1.627675833,5.526346599,0.25016,-0.01862,-0.00116,3
315,-4.548467387,-1.543170888,5.430648633,0.41305,-0.02443,0,3
316,-4.573146439,-1.419733901,5.431957967,0.63179,-0.04189,0.01047,3
317,-4.370576092,-1.11257493,5.496201307,0.79817,-0.05236,0.01745,3
318,-4.495219585,-0.903491184,5.598465936,0.9378,-0.05352,0.01862,3
319,-4.635931249,-0.88119604,5.657673831,1.14839,0.99015,0.0384,3
320,-4.626505251,-0.50812737,5.355634276,0.50846,-0.01396,-0.16522,3
321,-4.51637194,-0.028027167,5.324029483,-0.31066,0.07796,-0.16289,3
322,-4.211631011,0.563653038,5.296859266,-0.41654,-0.21641,-0.15358,3
323,-4.162398482,1.000965899,5.503832875,-0.33975,0.08843,-0.11286,3
324,-3.722516784,1.170026561,5.689389849,-0.02094,0.00349,-0.00582,3
325,-3.675956571,1.263718951,5.705148656,0.17918,-0.01396,-0.00349,3
326,-3.721317041,1.59619263,6.043185691,0.3188,0.33975,0.03142,3
327,-3.712756176,1.596889908,6.096827689,0.03491,0.02094,-0.00349,3
328,-3.547551925,1.514750624,6.439403937,-0.21409,-0.17453,-0.04654,3
329,-3.682331621,1.564112748,6.583321229,-0.16406,-0.00349,0.00233,3
330,-3.802952187,1.437186919,6.933022753,-0.07679,0.00465,-0.01047,3
331,-3.967812281,1.151894433,6.817438221,0.03142,-0.00233,-0.00814,3
332,-3.853945816,0.915827069,6.670502266,0.13962,-0.00698,-0.00814,3
333,-4.14862551,0.810422933,6.783676513,0.18035,0.23387,0.01513,3
334,-4.269994621,0.548066689,6.783244135,0.02676,0.02792,-0.04654,3
335,-4.515784134,0.431724928,6.705868931,0.00233,0.03374,-0.02327,3
336,-4.73571081,0.201212572,6.299256631,0.05934,0.05469,-0.03142,3
337,-4.779693441,0.209362374,6.428384006,-0.00233,0.00233,-0.04421,3
338,-4.888477194,0.196523276,6.265554285,0.0128,0.00465,-0.00349,3
339,-5.252794655,0.13451475,6.120919551,0.00814,0.00465,-0.00698,3
340,-5.563962585,0.13205685,6.085764378,0.00465,-0.00349,-0.00931,3
341,-5.525722262,0.196526959,5.872816042,-0.00116,0.00116,-0.00814,3
342,-5.622993433,0.464129278,5.584122351,0.00582,-0.00116,-0.00931,3
343,-5.726559483,0.48015309,5.438620557,-0.00116,-0.00116,-0.00814,3
344,-5.50940926,0.437384763,5.274183206,-0.00116,-0.00582,-0.00233,3
345,-5.265878772,0.411777335,5.043107954,-0.01862,-0.02211,0.00465,3
346,-5.003344719,0.299667222,4.864029135,-0.06632,-0.07097,0.04072,3
347,-4.970419237,0.33694444,4.936735277,-0.15009,-0.09657,0.06516,3
348,-4.442004863,0.584097581,4.660791584,-0.27226,-0.10588,0.06167,3
