,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
471,2.04570905,-0.131557638,4.230776512,-6.80542,-11.85975,-0.05701,3
472,1.348134608,-0.299315453,2.713273673,-7.12422,-12.07151,0.3188,3
473,1.02245193,-0.67753689,1.182228302,-7.10677,-12.04358,0.37,3
474,0.973052839,-0.829295112,-0.380457261,-7.11492,-12.07151,0.2967,3
475,1.254302684,-0.557300187,-1.744662725,-7.0835,-12.01798,0.3316,3
476,1.557755516,-0.45768576,-2.809626995,-7.05558,-11.90978,0.32113,3
477,2.114291993,0.237792941,-3.900162271,-7.01485,-11.77248,0.3316,3
478,3.189553395,0.835296213,-4.524197442,-6.94504,-11.59446,0.36069,3
479,4.242990878,1.871573415,-4.901739806,-6.90781,-11.47927,0.39792,3
480,5.251854256,2.740729912,-4.853703956,-6.84033,-11.32104,0.43748,3
481,6.144716274,3.607253809,-4.169074236,-6.81357,-11.20934,0.4817,3
482,7.175785498,4.451009044,-3.726509266,-6.71816,-11.06972,0.5038,3
483,7.917390557,5.294818528,-2.459986227,-6.70769,-10.96616,0.57827,3
484,8.518049797,5.853685828,-1.446199178,-6.66463,-10.88355,0.61783,3
485,9.065688387,6.160666308,0.151212206,-6.6274,-10.81723,0.64692,3
486,9.017127988,5.895110206,2.160809249,-6.58552,-10.72881,0.67717,3
487,9.01104555,6.100771813,3.529283338,-6.57504,-10.67761,0.6888,3
488,8.612124143,5.948287129,4.885747432,-6.54247,-10.59616,0.70858,3
489,8.154303683,6.131356763,5.939983411,-6.56574,-10.54613,0.71207,3
490,7.362099512,5.694020618,6.768675526,-6.59017,-10.49726,0.7272,3
491,6.514894318,5.155600131,7.699694097,-6.59831,-10.44723,0.76094,3
492,5.302396533,4.368597376,8.010667755,-6.63438,-10.38906,0.80399,3
493,4.25782883,3.216597096,8.048100775,-6.51338,-10.26805,0.82144,3
494,3.322903529,2.518812337,7.49645242,-6.57621,-10.289,0.88311,3
495,2.634649505,1.800372356,7.179402397,-6.55177,-10.26922,0.92383,3
496,1.594065758,1.059026415,6.172312964,-6.55875,-10.25991,0.96688,3
497,0.34426964,0.641239537,5.683520391,-6.7263,-10.40651,1.08091,3
498,-0.272649235,0.553996671,4.833509855,-7.26501,-11.22214,1.21239,3
499,-0.886589188,0.22534904,3.415708282,-7.15448,-11.07553,1.29267,3
500,-1.115235975,0.728470305,2.033450431,-7.30573,-11.16978,1.17515,3
501,-1.004334446,1.163569712,0.415945474,-9.65139,-9.5711,-0.39676,1
502,-0.462827547,1.993597402,-0.645623051,-9.58507,-9.5106,-0.32579,1
503,0.229245732,2.914152633,-1.63351904,-7.14284,-9.10337,-0.46541,1
504,0.95502503,3.905093713,-2.439157793,-7.11841,-9.08708,-0.42585,1
505,1.534155067,4.828719808,-2.933716404,-7.11026,-9.07545,-0.38163,1
506,2.451796426,5.712995613,-3.492727121,-7.0963,-9.04868,-0.33626,1
507,3.197882215,6.499345175,-3.758202986,-5.81759,-4.14562,0.89126,1
508,4.067141048,7.07126603,-3.768213834,-5.81294,-4.14329,0.90173,1
509,5.00740576,7.929675527,-4.00277159,-5.74546,-4.10606,0.89126,1
510,5.889155962,8.341066661,-3.814982938,-4.35272,-3.88732,0.11402,1
511,6.422950028,8.689797246,-3.597802162,-2.66911,-3.75933,-1.22984,1
512,6.708865858,8.878262271,-3.35484295,-2.65631,-3.76049,-1.24962,1
513,7.055316968,8.741126427,-2.720504685,-1.56028,-3.02631,-0.7144,1
514,7.505754417,9.102501107,-2.402059172,-1.06578,-2.647,-0.2327,1
515,7.683037371,9.540365218,-1.699158583,-1.30663,-2.77965,-0.23387,1
516,7.669356372,9.421164697,-1.499186738,-1.2182,-2.68307,-0.95292,1
517,7.706628001,9.369316638,-1.061387998,-1.31827,-3.27531,0.03142,1
518,7.637133842,9.043218976,-0.421725308,-1.13327,-3.16477,0.48519,1
519,7.694797447,9.098734042,-0.01850042,-0.88893,-3.04027,1.10302,1
520,7.544890481,9.124538809,0.498395133,-0.53173,-2.82037,1.82905,1
521,7.663899411,8.761163636,0.918824712,-0.23503,-2.64351,2.36543,1
522,6.354454982,8.215277252,1.409216158,0.1594,-2.0315,1.77902,1
523,7.167402424,8.917427254,1.920487696,0.59805,-1.74062,1.91515,1
524,7.363110063,9.186072942,2.390530916,0.82843,-1.48116,1.76273,1
525,7.219896109,9.283875526,2.911367169,0.58758,-1.54632,1.69874,1
526,6.571363976,8.974337383,3.04382202,1.0239,-1.30663,2.10481,1
527,6.4906819,9.736389651,3.491294221,1.03553,-1.18097,1.55562,1
528,6.029741283,9.955622843,3.605825804,1.06811,-1.13443,1.42066,1
529,5.438891044,10.20281075,3.9189212,1.12512,-0.5294,-0.28506,1
530,4.958806725,9.994130386,4.12455694,0.56082,-0.53638,0.1245,1
531,4.580969477,10.15378837,4.171878654,0.6155,-0.32462,-0.08145,1
532,4.65717225,9.951349454,4.038496048,0.2455,-0.31299,0.33858,1
533,4.618588207,10.07033688,3.752521298,-0.13846,-0.47123,0.28855,1
534,4.58349973,9.873670067,3.647973144,-0.34789,-0.52126,0.16755,1
535,4.863100458,9.86583986,3.681764166,-0.60852,-0.5678,0.23038,1
536,5.064460984,10.09363807,3.274188039,-0.45959,-0.41421,-0.42934,1
537,5.487328501,10.38635544,3.412485035,-0.95874,-0.53289,-0.17569,1
538,5.89419807,10.30199149,3.51374364,-1.17399,-0.25248,-1.46022,1
539,6.655949038,10.24839394,3.809456448,-1.33921,-0.23968,-1.38691,1
540,7.028973754,9.638209686,4.106238934,-2.18858,-0.57245,-0.38862,1
541,7.785838368,10.06239468,4.080347751,-2.00591,-0.2455,-1.48232,1
542,8.416631195,10.091223,4.452495405,-1.8116,0.27575,-2.27701,1
543,9.325318221,11.02667714,4.646373767,-2.02452,0.50497,-2.67609,1
544,10.05272316,11.39053518,5.135314993,-1.59867,0.17336,-1.97449,1
545,10.47402489,11.48956511,5.347783724,-1.51257,0.06399,-1.70572,1
546,10.75394966,11.58640295,5.433661292,-0.65506,0.77607,-1.66383,1
547,11.32223978,11.63491367,5.219004243,-0.52824,0.676,-1.52537,1
548,11.79163001,11.89595093,5.068685482,-0.4305,0.73534,-1.52072,1
549,12.33517162,11.76141547,5.48823393,-0.24434,0.82493,-1.44393,1
550,12.43942432,11.70091182,5.606333974,0.66321,0.44446,0.18384,1
551,12.63335568,11.79741659,5.534254309,0.91918,0.68997,0.42236,1
552,12.69669414,11.72689497,5.845150223,1.03437,0.90173,0.33858,1
553,12.39802555,11.39836636,5.921507538,1.27987,0.83541,0.81214,1
554,12.3366222,11.26035736,5.68732931,0.65855,0.11984,-0.35138,1
555,12.01594595,10.83164855,5.471307458,0.32928,-0.47588,-0.4945,1
556,11.66227945,10.38504799,5.461344801,0.33509,-0.5038,-0.33509,1
557,11.19300984,9.970992294,5.063866444,0.60619,-0.19198,-0.26179,1
558,10.69703904,9.872161195,4.76730926,0.32229,-0.4433,-0.19547,1
559,10.25402552,9.480213521,4.516807261,0.43865,-0.18733,-0.24318,1
560,9.978229762,8.990910184,4.038690262,0.35022,-0.15242,-0.25248,1
561,9.420670685,8.399313437,3.657284587,0.28972,-0.10123,-0.24085,1
562,9.010910028,8.12114799,3.368764207,0.23736,-0.0384,-0.15708,1
563,8.632621894,7.918032396,3.047587641,0.04072,-0.09541,-0.03374,1
564,8.409188944,7.199247706,3.060827172,-0.0128,-0.05236,-0.01629,1
565,8.480641369,6.843631632,2.982291177,-0.02211,-0.00931,-0.00465,1
566,8.137287586,6.365514284,2.876890775,-0.03956,0.01978,-0.01164,1
567,8.12845452,6.067990737,3.010878501,-0.08726,0.0256,-0.02443,1
568,8.517112014,6.647507403,2.706006816,-0.12217,0.04654,-0.00349,1
569,8.501388042,6.90661533,2.899707147,-0.12915,0.07447,0.01978,1
570,8.473534746,7.126586055,3.038715889,-0.12101,0.12101,0.00931,1
571,8.719597143,7.686826861,3.312883528,-0.12217,0.15591,-0.02443,1
572,8.648581339,7.578627595,3.640379995,-0.10006,0.20129,-0.01513,1
573,8.589108437,7.786666107,3.645986014,-0.09774,0.22689,-0.05585,1
574,8.434650732,8.026659441,3.88619645,-0.02094,0.26296,-0.09192,1
575,7.988172988,7.864553825,3.899480921,0.04887,0.00698,-0.02909,1
576,6.835839131,7.579682778,4.124654583,-0.04538,-0.19663,0.01745,1
577,8.074169659,8.188009196,4.476576516,0.08145,-0.03607,-0.0256,1
578,8.153025947,8.039168565,4.387062309,-0.03025,-0.12101,-0.01164,1
579,8.130695811,7.538317481,4.31508381,0.04305,-0.04538,-0.05119,1
580,8.102205506,6.825120528,4.387750108,0.08145,0.01396,-0.05003,1
581,8.772146414,7.471165128,4.536704474,0.07679,0.04305,-0.06748,1
582,8.763973783,7.28687788,4.481636053,0.09192,0.04421,-0.0733,1
583,8.822371229,7.455644046,4.587093881,0.10821,0.09541,-0.08726,1
584,9.268532971,7.58892882,4.457598375,0.05585,0.0861,-0.08843,1
585,9.492482959,7.436550824,4.600331872,0.06167,0.06167,-0.10239,1
586,9.72121282,7.257210955,4.458786631,0.03491,-0.03374,-0.02443,1
587,9.577806618,7.275819634,4.260502284,-0.00698,0.01745,-0.0128,1
588,9.545461458,7.075349319,4.399282551,-0.00465,-0.00698,-0.00931,1
589,9.335702887,6.9674068,4.404686732,0.00582,-0.00116,-0.01745,1
590,9.149755824,7.095931614,4.21940263,-0.01164,0.00814,-0.01047,1
591,8.896816298,7.175304393,4.322113358,0.00698,0.00116,-0.01396,1
592,8.861040536,6.96080236,4.547356018,-0.00233,-0.00349,-0.0128,1
593,8.776927539,7.14954093,4.467770602,0.00233,0.01164,-0.00814,1
594,8.496230793,6.864420624,4.642017878,0.00349,-0.00465,-0.01862,1
595,8.340490537,6.905398716,4.719630602,-0.00349,-0.00465,-0.00931,1
596,8.209804422,6.923840104,5.076827327,0.00233,0.01513,-0.01047,1
597,8.073263918,7.022783539,5.343976245,-0.00931,-0.02094,-0.01629,1
598,7.91247553,7.155338802,5.777174418,0.01513,0.00349,-0.01745,1
599,7.691025594,7.197182578,5.835695323,0,-0.02094,-0.0256,1
600,7.621525728,7.089946329,5.926368097,0.01745,0,-0.01164,1
601,7.856646479,7.131568471,6.028191642,-0.00465,-0.00698,-0.00931,1
602,7.836669071,7.074788238,6.212792535,0.00814,0.01396,-0.01745,1
603,8.175295079,6.818391444,6.466484771,-0.00349,-0.01164,-0.00931,1
604,8.329540412,6.854780081,6.356045858,0.00465,0.00931,-0.01396,1
605,8.495640112,6.85957858,6.302733387,-0.00233,0.00814,-0.0256,1
606,8.537870544,6.881335703,6.319856938,0.00349,0.00814,-0.01164,1
607,8.64076356,6.932736635,5.955240451,0.00931,-0.00349,-0.02094,1
608,8.704186603,6.731165759,5.947460775,0.00116,0.00116,-0.01164,1
609,8.697285454,6.592853388,5.87824849,0.00465,0.00233,-0.01862,1
610,8.498252008,6.560465943,5.764465558,0.00698,0.00233,-0.01862,1
611,8.476800305,6.614952567,5.589776373,0.00349,0,-0.0128,1
612,8.437620142,6.95603213,5.371195233,0.00582,-0.00116,-0.01396,1
613,8.484722225,7.036901771,5.022073288,0.00349,0.00116,-0.01862,1
614,8.38727194,6.995732817,4.374491001,-0.00465,-0.00116,-0.00931,1
615,8.15484301,7.227442535,4.198609447,0.00465,-0.00465,-0.01745,1
616,7.942916862,7.593929097,3.91404081,0.00582,0.00698,-0.02211,1
617,7.813619853,7.632314501,3.909951275,-0.00116,-0.00349,-0.01164,1
618,7.728802277,7.675103469,3.947458429,0.00116,0,-0.01164,1
619,7.682570984,7.867451937,3.956243655,0.00465,0.00233,-0.01164,1
620,7.358347435,8.194497461,3.738475014,-0.00349,-0.00698,-0.00465,1
621,6.969900169,8.237687274,3.839259513,0.0128,0.00814,-0.01978,1
622,7.224533205,8.495599449,3.759295358,-0.00233,-0.00582,-0.00931,1
623,7.086914727,8.764206059,4.014394868,0.00349,0.00349,-0.01745,1
624,7.214622833,8.979575603,4.172574539,0.00931,0.01513,-0.01513,1
625,7.670413515,9.13206793,3.994226476,-0.00582,-0.0128,-0.01164,1
626,7.856583442,8.990361473,4.269318271,-0.00814,0.01396,-0.01164,1
627,8.18602636,8.868292671,3.992449089,-0.00233,0.02909,-0.07214,1
628,8.537613289,8.771653255,4.1410478,0.01862,-0.00233,-0.04654,1
629,8.391815936,8.877999728,4.071383558,-0.00116,0.00582,-0.02327,1
630,8.465509759,8.762236807,4.382361074,0.00698,0.01396,-0.02327,1
